id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
10833,MT_Wind_Onshore,MT_Balance,2030,3,1.0,1.0,17,18,0.0
10834,MT_Wind_Onshore,MT_Balance,2030,3,1.0,1.0,19,20,0.0
10835,MT_Wind_Onshore,MT_Balance,2030,3,1.0,1.0,21,22,0.0
10836,MT_Wind_Onshore,MT_Balance,2030,3,1.0,1.0,23,24,0.0
10837,MT_Coal,MT_Balance,2030,3,1.0,1.0,1,2,0.0
10838,MT_Coal,MT_Balance,2030,3,1.0,1.0,3,4,0.0
10839,MT_Coal,MT_Balance,2030,3,1.0,1.0,5,6,0.0
10840,MT_Coal,MT_Balance,2030,3,1.0,1.0,7,8,0.0
10841,MT_Coal,MT_Balance,2030,3,1.0,1.0,9,10,0.0
10842,MT_Coal,MT_Balance,2030,3,1.0,1.0,11,12,0.0
10843,MT_Coal,MT_Balance,2030,3,1.0,1.0,13,14,0.0
10844,MT_Coal,MT_Balance,2030,3,1.0,1.0,15,16,0.0
10845,MT_Coal,MT_Balance,2030,3,1.0,1.0,17,18,0.0
10846,MT_Coal,MT_Balance,2030,3,1.0,1.0,19,20,0.0
10847,MT_Coal,MT_Balance,2030,3,1.0,1.0,21,22,0.0
10848,MT_Coal,MT_Balance,2030,3,1.0,1.0,23,24,0.0
10849,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,1,2,0.0
10850,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,3,4,0.0
10851,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,5,6,0.0
10852,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,7,8,0.0
10853,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,9,10,0.0
10854,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,11,12,0.0
10855,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,13,14,0.0
10856,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,15,16,0.0
10857,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,17,18,0.0
10858,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,19,20,0.0
10859,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,21,22,0.0
10860,MT_Nuclear,MT_Balance,2030,3,1.0,1.0,23,24,0.0
10861,MT_OCGT,MT_Balance,2030,3,1.0,1.0,1,2,0.0
10862,MT_OCGT,MT_Balance,2030,3,1.0,1.0,3,4,0.0
10863,MT_OCGT,MT_Balance,2030,3,1.0,1.0,5,6,0.0
10864,MT_OCGT,MT_Balance,2030,3,1.0,1.0,7,8,0.0
10865,MT_OCGT,MT_Balance,2030,3,1.0,1.0,9,10,0.0
