region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.8895279196769886e7;2.106866366754428e6;431583.8403962688
BE;5.8895279196769886e7;1.5892506638139782e6;212230.31396046552
DE;5.8895279196769886e7;9.268436579045843e6;1.788141639179447e6
FR;5.8895279196769886e7;7.156697589866965e6;493660.08695662813
LU;5.8895279196769886e7;128861.40537425719;35760.08053834778
CH;5.8895279196769886e7;1.2382429452717912e6;506906.8225577514
UK;5.8895279196769886e7;4.5026876003197115e6;238107.48635736015
DK;5.8895279196769886e7;665393.3101046758;0.0
NO;5.8895279196769886e7;1.9750190123248328e6;0.0
IE;5.8895279196769886e7;454039.44900142157;0.0
SE;5.8895279196769886e7;2.430485724927007e6;410937.4202847666
AT;5.8895279196769886e7;1.7281647623854366e6;132667.53395592462
CZ;5.8895279196769886e7;930548.9116233566;90633.79803369936
PL;5.8895279196769886e7;2.7202640855547627e6;485863.561499293
ES;5.8895279196769886e7;5.733868630275388e6;1.0750333239084713e6
IT;5.8895279196769886e7;7.897546083189176e6;3.0158960852383967e6
LT;5.8895279196769886e7;79998.32139510049;0.0
FI;5.8895279196769886e7;1.9501382605200738e6;203835.5006950991
SI;5.8895279196769886e7;131953.4386040497;0.0
HU;5.8895279196769886e7;1.1809439361386145e6;411742.8877934535
SK;5.8895279196769886e7;222396.96012689997;0.0
PT;5.8895279196769886e7;1.2630003876848912e6;180697.55263388358
HR;5.8895279196769886e7;319744.34868925926;2112.0119999999997
RO;5.8895279196769886e7;986552.9082241779;103364.25099657138
GR;5.8895279196769886e7;1.0020366620931177e6;214459.44377577564
LV;5.8895279196769886e7;108962.36486278489;48894.78803251483
EE;5.8895279196769886e7;87414.17988096848;11903.928178144988
MT;5.8895279196769886e7;103725.32144353581;0.0
CY;5.8895279196769886e7;113883.66644791943;15391.109354062628
BG;5.8895279196769886e7;803561.7993319137;45691.27119684449
EU-Non-NL;5.8895279196769886e7;5.677381930852187e7;9.72393089712686e6
