id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
12940,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,7,8,15336.354158714828
12941,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,9,10,15485.5731103815
12942,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,11,12,13983.23914932898
12943,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,13,14,13559.828215776197
12944,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,15,16,14466.988027566413
12945,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,17,18,15715.547021931518
12946,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,19,20,16745.17243459048
12947,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,21,22,16428.8971946032
12948,NL_Wind_Onshore,NL_Balance,2030,4,1.0,1.0,23,24,14811.307608480141
12949,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,1,2,0.0
12950,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,3,4,0.0
12951,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,5,6,0.0
12952,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,7,8,0.0
12953,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,9,10,0.0
12954,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,11,12,0.0
12955,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,13,14,0.0
12956,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,15,16,0.0
12957,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,17,18,0.0
12958,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,19,20,0.0
12959,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,21,22,0.0
12960,NL_Wind_Offshore,NL_Balance,2030,4,1.0,1.0,23,24,0.0
12961,NL_CCGT,NL_Balance,2030,4,1.0,1.0,1,2,0.0
12962,NL_CCGT,NL_Balance,2030,4,1.0,1.0,3,4,0.0
12963,NL_CCGT,NL_Balance,2030,4,1.0,1.0,5,6,0.0
12964,NL_CCGT,NL_Balance,2030,4,1.0,1.0,7,8,0.0
12965,NL_CCGT,NL_Balance,2030,4,1.0,1.0,9,10,0.0
12966,NL_CCGT,NL_Balance,2030,4,1.0,1.0,11,12,0.0
12967,NL_CCGT,NL_Balance,2030,4,1.0,1.0,13,14,0.0
12968,NL_CCGT,NL_Balance,2030,4,1.0,1.0,15,16,0.0
12969,NL_CCGT,NL_Balance,2030,4,1.0,1.0,17,18,0.0
12970,NL_CCGT,NL_Balance,2030,4,1.0,1.0,19,20,0.0
12971,NL_CCGT,NL_Balance,2030,4,1.0,1.0,21,22,0.0
12972,NL_CCGT,NL_Balance,2030,4,1.0,1.0,23,24,0.0
12973,NL_OCGT,NL_Balance,2030,4,1.0,1.0,1,2,0.0
12974,NL_OCGT,NL_Balance,2030,4,1.0,1.0,3,4,0.0
12975,NL_OCGT,NL_Balance,2030,4,1.0,1.0,5,6,0.0
12976,NL_OCGT,NL_Balance,2030,4,1.0,1.0,7,8,0.0
12977,NL_OCGT,NL_Balance,2030,4,1.0,1.0,9,10,0.0
12978,NL_OCGT,NL_Balance,2030,4,1.0,1.0,11,12,0.0
12979,NL_OCGT,NL_Balance,2030,4,1.0,1.0,13,14,0.0
12980,NL_OCGT,NL_Balance,2030,4,1.0,1.0,15,16,0.0
12981,NL_OCGT,NL_Balance,2030,4,1.0,1.0,17,18,0.0
12982,NL_OCGT,NL_Balance,2030,4,1.0,1.0,19,20,0.0
12983,NL_OCGT,NL_Balance,2030,4,1.0,1.0,21,22,0.0
12984,NL_OCGT,NL_Balance,2030,4,1.0,1.0,23,24,0.0
12985,NL_Battery,NL_Balance,2030,4,1.0,1.0,1,2,0.0
12986,NL_Battery,NL_Balance,2030,4,1.0,1.0,3,4,0.0
12987,NL_Battery,NL_Balance,2030,4,1.0,1.0,5,6,0.0
12988,NL_Battery,NL_Balance,2030,4,1.0,1.0,7,8,0.0
12989,NL_Battery,NL_Balance,2030,4,1.0,1.0,9,10,0.0
12990,NL_Battery,NL_Balance,2030,4,1.0,1.0,11,12,0.0
12991,NL_Battery,NL_Balance,2030,4,1.0,1.0,13,14,0.0
12992,NL_Battery,NL_Balance,2030,4,1.0,1.0,15,16,0.0
12993,NL_Battery,NL_Balance,2030,4,1.0,1.0,17,18,0.0
12994,NL_Battery,NL_Balance,2030,4,1.0,1.0,19,20,0.0
12995,NL_Battery,NL_Balance,2030,4,1.0,1.0,21,22,0.0
12996,NL_Battery,NL_Balance,2030,4,1.0,1.0,23,24,0.0
12997,NL_Balance,NL_Battery,2030,4,1.0,1.0,1,2,0.0
12998,NL_Balance,NL_Battery,2030,4,1.0,1.0,3,4,0.0
12999,NL_Balance,NL_Battery,2030,4,1.0,1.0,5,6,0.0
13000,NL_Balance,NL_Battery,2030,4,1.0,1.0,7,8,0.0
13001,NL_Balance,NL_Battery,2030,4,1.0,1.0,9,10,0.0
13002,NL_Balance,NL_Battery,2030,4,1.0,1.0,11,12,0.0
13003,NL_Balance,NL_Battery,2030,4,1.0,1.0,13,14,0.0
13004,NL_Balance,NL_Battery,2030,4,1.0,1.0,15,16,0.0
13005,NL_Balance,NL_Battery,2030,4,1.0,1.0,17,18,0.0
13006,NL_Balance,NL_Battery,2030,4,1.0,1.0,19,20,0.0
13007,NL_Balance,NL_Battery,2030,4,1.0,1.0,21,22,0.0
13008,NL_Balance,NL_Battery,2030,4,1.0,1.0,23,24,0.0
13009,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,1,2,0.0
13010,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,3,4,0.0
13011,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,5,6,0.0
13012,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,7,8,0.0
13013,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,9,10,0.0
13014,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,11,12,0.0
13015,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,13,14,0.0
13016,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,15,16,0.0
13017,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,17,18,0.0
13018,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,19,20,0.0
13019,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,21,22,0.0
13020,BE_Wind_Offshore,BE_Balance,2030,4,1.0,1.0,23,24,0.0
13021,BE_Coal,BE_Balance,2030,4,1.0,1.0,1,2,0.0
13022,BE_Coal,BE_Balance,2030,4,1.0,1.0,3,4,0.0
13023,BE_Coal,BE_Balance,2030,4,1.0,1.0,5,6,0.0
13024,BE_Coal,BE_Balance,2030,4,1.0,1.0,7,8,0.0
13025,BE_Coal,BE_Balance,2030,4,1.0,1.0,9,10,0.0
13026,BE_Coal,BE_Balance,2030,4,1.0,1.0,11,12,0.0
13027,BE_Coal,BE_Balance,2030,4,1.0,1.0,13,14,0.0
13028,BE_Coal,BE_Balance,2030,4,1.0,1.0,15,16,0.0
13029,BE_Coal,BE_Balance,2030,4,1.0,1.0,17,18,0.0
13030,BE_Coal,BE_Balance,2030,4,1.0,1.0,19,20,0.0
13031,BE_Coal,BE_Balance,2030,4,1.0,1.0,21,22,0.0
13032,BE_Coal,BE_Balance,2030,4,1.0,1.0,23,24,0.0
13033,BE_Nuclear,BE_Balance,2030,4,1.0,1.0,1,2,0.0
13034,BE_Nuclear,BE_Balance,2030,4,1.0,1.0,3,4,0.0
13035,BE_Nuclear,BE_Balance,2030,4,1.0,1.0,5,6,0.0
13036,BE_Nuclear,BE_Balance,2030,4,1.0,1.0,7,8,6.013269739924001e-07
13037,BE_Nuclear,BE_Balance,2030,4,1.0,1.0,9,10,6.013269739924001e-07
