id,asset,year,rep_period,time_block_start,time_block_end,solution
997,EE_Battery,2030,4,1,2,0.0
998,EE_Battery,2030,4,3,4,219.34751493721012
999,EE_Battery,2030,4,5,6,0.0
1000,EE_Battery,2030,4,7,8,0.0
1001,EE_Battery,2030,4,9,10,219.34751493721012
1002,EE_Battery,2030,4,11,12,219.34751493721012
1003,EE_Battery,2030,4,13,14,0.0
1004,EE_Battery,2030,4,15,16,219.34751493721012
1005,EE_Battery,2030,4,17,18,0.0
1006,EE_Battery,2030,4,19,20,0.0
1007,EE_Battery,2030,4,21,22,0.0
1008,EE_Battery,2030,4,23,24,0.0
1009,EE_Battery,2030,5,1,2,0.0
1010,EE_Battery,2030,5,3,4,0.0
1011,EE_Battery,2030,5,5,6,0.0
1012,EE_Battery,2030,5,7,8,0.0
1013,EE_Battery,2030,5,9,10,0.0
1014,EE_Battery,2030,5,11,12,0.0
1015,EE_Battery,2030,5,13,14,0.0
1016,EE_Battery,2030,5,15,16,0.0
1017,EE_Battery,2030,5,17,18,0.0
1018,EE_Battery,2030,5,19,20,0.0
1019,EE_Battery,2030,5,21,22,0.0
1020,EE_Battery,2030,5,23,24,0.0
1021,EE_Battery,2030,6,1,2,0.0
1022,EE_Battery,2030,6,3,4,0.0
1023,EE_Battery,2030,6,5,6,0.0
1024,EE_Battery,2030,6,7,8,0.0
1025,EE_Battery,2030,6,9,10,0.0
1026,EE_Battery,2030,6,11,12,0.0
1027,EE_Battery,2030,6,13,14,0.0
1028,EE_Battery,2030,6,15,16,219.34751493721012
1029,EE_Battery,2030,6,17,18,219.34751493721012
1030,EE_Battery,2030,6,19,20,0.0
1031,EE_Battery,2030,6,21,22,0.0
1032,EE_Battery,2030,6,23,24,0.0
1033,EE_Battery,2030,7,1,2,0.0
1034,EE_Battery,2030,7,3,4,0.0
1035,EE_Battery,2030,7,5,6,0.0
1036,EE_Battery,2030,7,7,8,0.0
1037,EE_Battery,2030,7,9,10,0.0
1038,EE_Battery,2030,7,11,12,0.0
1039,EE_Battery,2030,7,13,14,98.23043378741954
1040,EE_Battery,2030,7,15,16,219.34751493721012
1041,EE_Battery,2030,7,17,18,134.35923038053147
1042,EE_Battery,2030,7,19,20,0.0
1043,EE_Battery,2030,7,21,22,0.0
