region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.8886753826364994e7;2.1152347347308313e6;439952.20837267215
BE;5.8886753826364994e7;1.5738019208631695e6;212807.49042497907
DE;5.8886753826364994e7;9.27420672687098e6;1.804383154355964e6
FR;5.8886753826364994e7;7.138977537045508e6;480104.45948284946
LU;5.8886753826364994e7;160176.30753816688;58688.11300652016
CH;5.8886753826364994e7;1.2691066842115775e6;512695.1537154902
UK;5.8886753826364994e7;4.473687536246974e6;228381.8170100799
DK;5.8886753826364994e7;665393.3101046758;0.0
NO;5.8886753826364994e7;1.998502737922391e6;7209.972001105999
IE;5.8886753826364994e7;454039.4490615797;2.5479812131379744e-6
SE;5.8886753826364994e7;2.470676806631507e6;392299.85487805144
AT;5.8886753826364994e7;1.6672382650665846e6;120747.03559935054
CZ;5.8886753826364994e7;936434.5349561212;101951.0883666167
PL;5.8886753826364994e7;2.702278236081834e6;481592.0022088849
ES;5.8886753826364994e7;5.831083915317287e6;1.156241674606892e6
IT;5.8886753826364994e7;7.947332046984469e6;3.056176201808532e6
LT;5.8886753826364994e7;63063.17152705282;2.6692680308769936e-6
FI;5.8886753826364994e7;1.928485655117994e6;225230.0059079361
SI;5.8886753826364994e7;215106.94775189552;26855.390668974036
HU;5.8886753826364994e7;1.0282143488193089e6;349019.8975988684
SK;5.8886753826364994e7;199853.11434239382;0.0
PT;5.8886753826364994e7;1.171398175901895e6;131242.71585214383
HR;5.8886753826364994e7;415009.13343980396;45111.008755169605
RO;5.8886753826364994e7;1.0770243454455666e6;179867.640542319
GR;5.8886753826364994e7;1.0434493049679127e6;236675.89749083057
LV;5.8886753826364994e7;111840.14811988072;48761.89877508345
EE;5.8886753826364994e7;95624.59677246757;14160.762003414742
MT;5.8886753826364994e7;99402.76621000664;4.353309266298313e-6
CY;5.8886753826364994e7;70606.37947976655;5.025931759519156e-6
BG;5.8886753826364994e7;674911.4673418512;11986.521617547083
EU-Non-NL;5.8886753826364994e7;5.675692557014057e7;9.882189756692145e6
