region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.8343666652117394e7;2.0713374681640416e6;450642.6727071464
BE;5.8343666652117394e7;1.5706101452298542e6;245678.2855838842
DE;5.8343666652117394e7;9.213719855632683e6;1.7360682718130883e6
FR;5.8343666652117394e7;7.140144287321075e6;470959.4906215574
LU;5.8343666652117394e7;137574.06557570293;24178.895999999993
CH;5.8343666652117394e7;1.205671143655381e6;448400.5993053294
UK;5.8343666652117394e7;4.455790235198663e6;287907.1362138574
DK;5.8343666652117394e7;645471.9622542441;7209.971999999999
NO;5.8343666652117394e7;1.9692049431338643e6;7209.971999999999
IE;5.8343666652117394e7;442028.0646631769;0.0
SE;5.8343666652117394e7;2.53979732459802e6;450500.957941857
AT;5.8343666652117394e7;1.737115438296133e6;183042.74614796293
CZ;5.8343666652117394e7;935242.5754472557;103776.36563785729
PL;5.8343666652117394e7;2.535217887013904e6;317688.276700862
ES;5.8343666652117394e7;5.603201136117138e6;1.0723842031155515e6
IT;5.8343666652117394e7;7.792477082083015e6;2.859839028196245e6
LT;5.8343666652117394e7;21160.91798919464;0.0
FI;5.8343666652117394e7;1.924924372751093e6;236469.53482421767
SI;5.8343666652117394e7;161883.33850435307;13478.365802377408
HU;5.8343666652117394e7;1.1298935016005205e6;404621.0314987561
SK;5.8343666652117394e7;206650.03958767597;0.0
PT;5.8343666652117394e7;1.2485967859139286e6;176540.53535559066
HR;5.8343666652117394e7;414004.9501406422;47039.12409165337
RO;5.8343666652117394e7;990724.5880980687;103818.94965416045
GR;5.8343666652117394e7;865342.2587675381;110953.61309510845
LV;5.8343666652117394e7;132615.38622988437;42727.549359184944
EE;5.8343666652117394e7;115632.0472902489;11528.727973089452
MT;5.8343666652117394e7;106889.87123076168;0.0
CY;5.8343666652117394e7;178066.60436524567;59403.517824817885
BG;5.8343666652117394e7;838084.8537705303;101102.14278288597
EU-Non-NL;5.8343666652117394e7;5.6257735662459776e7;9.522527293539887e6
