id,asset,year,rep_period,time_block_start,time_block_end,solution
20,AT_Battery,2030,2,15,16,0.0
21,AT_Battery,2030,2,17,18,0.0
22,AT_Battery,2030,2,19,20,0.0
23,AT_Battery,2030,2,21,22,0.0
24,AT_Battery,2030,2,23,24,0.0
25,AT_Battery,2030,3,1,2,0.0
26,AT_Battery,2030,3,3,4,431.7084839481731
27,AT_Battery,2030,3,5,6,431.7084839481731
28,AT_Battery,2030,3,7,8,0.0
29,AT_Battery,2030,3,9,10,431.7084839481731
30,AT_Battery,2030,3,11,12,431.7084839481731
31,AT_Battery,2030,3,13,14,0.0
32,AT_Battery,2030,3,15,16,431.7084839481731
33,AT_Battery,2030,3,17,18,0.0
34,AT_Battery,2030,3,19,20,0.0
35,AT_Battery,2030,3,21,22,245.50272738341482
36,AT_Battery,2030,3,23,24,0.0
37,AT_Battery,2030,4,1,2,0.0
38,AT_Battery,2030,4,3,4,431.7084839481731
39,AT_Battery,2030,4,5,6,431.7084839481731
40,AT_Battery,2030,4,7,8,431.7084839481731
41,AT_Battery,2030,4,9,10,431.7084839481731
42,AT_Battery,2030,4,11,12,0.0
43,AT_Battery,2030,4,13,14,0.0
44,AT_Battery,2030,4,15,16,431.7084839481731
45,AT_Battery,2030,4,17,18,0.0
46,AT_Battery,2030,4,19,20,0.0
47,AT_Battery,2030,4,21,22,0.0
48,AT_Battery,2030,4,23,24,0.0
49,AT_Battery,2030,5,1,2,0.0
50,AT_Battery,2030,5,3,4,0.0
51,AT_Battery,2030,5,5,6,431.7084839481731
52,AT_Battery,2030,5,7,8,431.7084839481731
53,AT_Battery,2030,5,9,10,0.0
54,AT_Battery,2030,5,11,12,431.7084839481731
55,AT_Battery,2030,5,13,14,431.7084839481731
56,AT_Battery,2030,5,15,16,431.7084839481731
57,AT_Battery,2030,5,17,18,0.0
58,AT_Battery,2030,5,19,20,0.0
59,AT_Battery,2030,5,21,22,0.0
60,AT_Battery,2030,5,23,24,0.0
61,AT_Battery,2030,6,1,2,0.0
62,AT_Battery,2030,6,3,4,0.0
63,AT_Battery,2030,6,5,6,0.0
64,AT_Battery,2030,6,7,8,0.0
65,AT_Battery,2030,6,9,10,0.0
66,AT_Battery,2030,6,11,12,0.0
67,AT_Battery,2030,6,13,14,0.0
68,AT_Battery,2030,6,15,16,0.0
69,AT_Battery,2030,6,17,18,431.7084839481731
70,AT_Battery,2030,6,19,20,0.0
71,AT_Battery,2030,6,21,22,0.0
72,AT_Battery,2030,6,23,24,0.0
73,AT_Battery,2030,7,1,2,101.09911369791189
74,AT_Battery,2030,7,3,4,354.15490404939555
75,AT_Battery,2030,7,5,6,123.91055806142049
76,AT_Battery,2030,7,7,8,0.0
77,AT_Battery,2030,7,9,10,0.0
78,AT_Battery,2030,7,11,12,0.0
79,AT_Battery,2030,7,13,14,0.0
80,AT_Battery,2030,7,15,16,431.7084839481731
81,AT_Battery,2030,7,17,18,361.9372937078749
82,AT_Battery,2030,7,19,20,0.0
83,AT_Battery,2030,7,21,22,0.0
84,AT_Battery,2030,7,23,24,0.0
85,AT_Battery,2030,8,1,2,0.0
86,AT_Battery,2030,8,3,4,0.0
87,AT_Battery,2030,8,5,6,0.0
88,AT_Battery,2030,8,7,8,0.0
89,AT_Battery,2030,8,9,10,0.0
90,AT_Battery,2030,8,11,12,0.0
91,AT_Battery,2030,8,13,14,409.75674111246553
92,AT_Battery,2030,8,15,16,409.75674111246553
93,AT_Battery,2030,8,17,18,431.7084839481731
94,AT_Battery,2030,8,19,20,0.0
95,AT_Battery,2030,8,21,22,0.0
96,AT_Battery,2030,8,23,24,0.0
97,AT_Battery,2030,9,1,2,0.0
98,AT_Battery,2030,9,3,4,431.7084839481731
