region;EU_objective_value;region_total_cost;region_operational_cost
NL;5.9093121910614535e7;2.1651534991323925e6;453267.62296673335
BE;5.9093121910614535e7;1.552765788218874e6;269194.096452996
DE;5.9093121910614535e7;9.296775415987473e6;1.7950966577241763e6
FR;5.9093121910614535e7;7.220891616055129e6;518280.8833459834
LU;5.9093121910614535e7;178684.93589494601;51224.95344758155
CH;5.9093121910614535e7;1.3142381106647637e6;557600.5037092391
UK;5.9093121910614535e7;4.4700434065577e6;229263.70354784117
DK;5.9093121910614535e7;623071.4741262866;0.0
NO;5.9093121910614535e7;1.9726677992149224e6;0.0
IE;5.9093121910614535e7;458568.7690020083;0.0
SE;5.9093121910614535e7;2.4806357880129106e6;417405.48927936796
AT;5.9093121910614535e7;1.724820098645128e6;173110.44968984363
CZ;5.9093121910614535e7;935541.084743111;88942.94306251743
PL;5.9093121910614535e7;2.671498801658093e6;450668.1325013042
ES;5.9093121910614535e7;5.809609733141545e6;1.061689710839576e6
IT;5.9093121910614535e7;7.786504927716981e6;2.8618172773059565e6
LT;5.9093121910614535e7;74390.79391015533;12732.904799999997
FI;5.9093121910614535e7;1.9478643089705852e6;211486.40362347447
SI;5.9093121910614535e7;223680.67043093024;35756.56664999999
HU;5.9093121910614535e7;1.1782199488850627e6;402962.60742424155
SK;5.9093121910614535e7;185233.93101324886;0.0
PT;5.9093121910614535e7;1.2129762790637303e6;174253.9600847429
HR;5.9093121910614535e7;313219.47418086004;0.0
RO;5.9093121910614535e7;1.0831003472747558e6;167033.57850739316
GR;5.9093121910614535e7;1.0234101616421833e6;231130.51710502018
LV;5.9093121910614535e7;108424.47551880892;47021.82539438054
EE;5.9093121910614535e7;92582.40901872823;0.0
MT;5.9093121910614535e7;110272.26031002791;0.0
CY;5.9093121910614535e7;88644.38712336001;4646.426399999999
BG;5.9093121910614535e7;775037.6930062817;75942.27713955217
EU-Non-NL;5.9093121910614535e7;5.691337488998871e7;9.837261868035303e6
