region;EU_objective_value;region_total_cost;region_operational_cost
NL;6.302975310203601e7;2.222642036923402e6;396465.39617221017
BE;6.302975310203601e7;1.608323567681624e6;263777.78178748646
DE;6.302975310203601e7;1.0099699695780518e7;2.0527128242208755e6
FR;6.302975310203601e7;7.7752820333208805e6;932352.9169709123
LU;6.302975310203601e7;144125.69869976796;24839.75106401339
CH;6.302975310203601e7;1.5844279573704966e6;479173.0694587991
UK;6.302975310203601e7;4.615871797760401e6;498430.98524219345
DK;6.302975310203601e7;849334.0301676627;113947.58390205634
NO;6.302975310203601e7;2.0276489697089556e6;159815.84810454716
IE;6.302975310203601e7;479142.7603541727;41358.299683106736
SE;6.302975310203601e7;2.7001660661763363e6;423807.6472293637
AT;6.302975310203601e7;1.6285564385148543e6;305198.6758177418
CZ;6.302975310203601e7;1.2613503000395333e6;240176.68928519558
PL;6.302975310203601e7;2.9994875440394795e6;548831.3151635288
ES;6.302975310203601e7;5.870707942020965e6;1.184396686107424e6
IT;6.302975310203601e7;8.287963461566306e6;3.0011128856507777e6
LT;6.302975310203601e7;177159.3397924671;48953.34331758176
FI;6.302975310203601e7;2.0567849575266072e6;376952.85055391677
SI;6.302975310203601e7;277896.7550289124;87073.27872764767
HU;6.302975310203601e7;1.346466081838564e6;327729.6036296301
SK;6.302975310203601e7;133549.6002399471;14290.540231250388
PT;6.302975310203601e7;1.2551371064463402e6;245597.53497967654
HR;6.302975310203601e7;310535.6155692689;99005.03712641071
RO;6.302975310203601e7;1.0996773076899115e6;204797.63701843433
GR;6.302975310203601e7;981817.1977207544;221554.6335538779
LV;6.302975310203601e7;107805.23883106315;29599.55404009613
EE;6.302975310203601e7;123931.76443728182;15367.507260357863
MT;6.302975310203601e7;80770.97556959421;50025.32231720575
CY;6.302975310203601e7;161246.23561236536;66401.79118077416
BG;6.302975310203601e7;762244.6256075638;175845.02544647103
EU-Non-NL;6.302975310203601e7;6.0807111065112785e7;1.2233126619071553e7
